Type,ID,Time
TASK,152_M3,3.004641
TASK,153_M0,3.004574
TASK,150_R0,4.998232
JOB,150,16:30:08
TASK,158_M2,1.001915
TASK,154_M0,4.007294
TASK,154_M1,2.004154
TASK,157_M0,3.005356
TASK,160_M0,5.050413
TASK,154_R0,2.190319
JOB,154,16:30:15
TASK,157_R0,2.190726
TASK,161_M2,3.217012
TASK,161_M0,8.259554
TASK,164_M0,1.009362
TASK,164_M1,2.010906
TASK,165_M0,2.011297
TASK,161_R0,3.090167
JOB,161,16:30:20
TASK,166_M3,1.079301
TASK,162_M0,8.310842
TASK,168_M0,1.001631
TASK,167_M3,5.145195
TASK,170_M2,3.064953
TASK,170_M3,4.158394
TASK,162_R0,7.153422
TASK,164_R1,4.004688
JOB,164,16:30:29
TASK,167_R1,1.001029
JOB,167,16:30:29
TASK,168_R1,2.003215
JOB,168,16:30:30
TASK,167_R0,4.006522
TASK,172_R0,3.97789
TASK,174_M1,4.005519
TASK,174_M2,4.005506
TASK,175_M1,4.000226
TASK,176_M3,2.003625
TASK,179_M0,2.003321
TASK,176_M2,3.989694
TASK,179_M2,2.00304
TASK,179_M1,5.993997
TASK,175_R0,5.009256
JOB,175,16:30:42
TASK,180_M3,2.005297
TASK,180_M1,4.01804
TASK,183_M1,4.01825
TASK,179_R0,4.017344
JOB,179,16:30:44
TASK,187_M0,2.006132
TASK,186_M3,4.025716
TASK,180_R0,3.5386
TASK,183_R0,1.001543
TASK,184_R0,1.001647
TASK,180_R1,3.005668
JOB,180,16:30:49
TASK,181_R0,3.004565
TASK,188_M2,4.98703
TASK,188_M3,6.006948
TASK,189_M0,5.0054
TASK,189_M2,2.002969
TASK,193_M0,2.003049
TASK,191_M1,3.0048
TASK,189_R0,1.001364
TASK,188_R0,6.008507
JOB,188,16:31:02
TASK,196_M0,3.004097
TASK,189_R1,3.004177
JOB,189,16:31:02
TASK,190_R1,4.004721
JOB,190,16:31:03
TASK,197_M0,2.005442
TASK,193_R0,2.005314
JOB,193,16:31:05
TASK,197_M3,2.006772
TASK,197_M2,3.008403
TASK,199_M1,4.922059
TASK,203_M0,2.008154
TASK,199_M2,4.010986
TASK,200_M0,4.012328
TASK,201_M0,4.012858
TASK,200_R0,1.002547
TASK,199_R0,2.004572
JOB,199,16:31:13
TASK,200_R1,2.005368
JOB,200,16:31:13
TASK,197_R0,5.590682
TASK,198_R0,3.007452
TASK,207_M0,3.005499
TASK,207_M3,1.001764
TASK,208_M1,2.908012
TASK,208_M2,2.031001
TASK,208_M0,4.093239
TASK,209_M1,1.001162
TASK,211_M1,2.002758
TASK,209_M0,6.095231
TASK,211_M2,3.004452
TASK,212_M0,3.008933
TASK,207_R1,4.01278
JOB,207,16:31:24
TASK,212_M2,3.328974
TASK,213_M0,5.335043
TASK,213_M2,3.006294
TASK,213_M3,2.003916
TASK,214_M0,3.004965
TASK,214_M2,4.023388
TASK,217_M2,2.019392
TASK,213_R0,3.020792
JOB,213,16:31:34
TASK,217_M0,4.025577
TASK,223_M3,6.028237
TASK,214_R0,2.004151
TASK,216_R0,2.004563
TASK,225_M1,2.004693
TASK,217_R0,6.008337
JOB,217,16:31:41
TASK,223_R0,2.002998
TASK,221_R1,7.017021
JOB,221,16:31:44
TASK,222_R0,4.009235
JOB,222,16:31:45
TASK,223_R1,4.008803
JOB,223,16:31:45
TASK,232_M3,2.006313
TASK,227_R1,6.241073
JOB,227,16:31:47
TASK,234_M2,2.239377
TASK,234_M3,2.238813
TASK,233_M2,5.177698
TASK,236_M0,3.324056
TASK,237_M1,1.001505
TASK,232_R1,2.005426
JOB,232,16:31:51
TASK,233_R0,3.007819
TASK,233_R1,1.002924
JOB,233,16:31:52
TASK,237_M0,6.084639
TASK,238_M3,2.005708
TASK,241_M0,1.952508
TASK,241_M1,3.007589
TASK,242_M0,4.00837
TASK,242_M3,2.019723
TASK,243_M0,3.02163
TASK,245_M1,3.022278
TASK,237_R0,8.020426
JOB,237,16:32:01
TASK,244_M0,4.026509
TASK,245_M3,3.007679
TASK,246_M2,2.002034
TASK,249_M1,1.001215
TASK,246_M1,4.998166
TASK,247_M2,4.00533
