JOB,0,15:20:36
WORKER,1,15:20:36
WORKER,2,15:20:36
WORKER,3,15:20:36
WORKER,1,15:20:36
JOB,1,15:20:37
WORKER,2,15:20:37
JOB,2,15:20:38
WORKER,3,15:20:38
WORKER,1,15:20:38
JOB,3,15:20:39
WORKER,2,15:20:39
WORKER,3,15:20:39
WORKER,1,15:20:39
WORKER,2,15:20:39
WORKER,3,15:20:39
WORKER,1,15:20:39
JOB,4,15:20:40
WORKER,2,15:20:40
WORKER,1,15:20:40
WORKER,2,15:20:40
WORKER,1,15:20:40
JOB,5,15:20:41
WORKER,2,15:20:41
WORKER,1,15:20:41
WORKER,2,15:20:41
WORKER,3,15:20:43
WORKER,1,15:20:43
WORKER,2,15:20:43
WORKER,3,15:20:43
JOB,6,15:20:44
WORKER,1,15:20:44
JOB,7,15:20:45
WORKER,1,15:20:45
WORKER,1,15:20:45
WORKER,1,15:20:45
WORKER,1,15:20:45
JOB,8,15:20:45
WORKER,3,15:20:45
JOB,9,15:20:45
WORKER,2,15:20:46
WORKER,3,15:20:46
WORKER,1,15:20:46
JOB,10,15:20:47
WORKER,2,15:20:47
JOB,11,15:20:47
WORKER,1,15:20:47
WORKER,1,15:20:47
WORKER,2,15:20:48
WORKER,2,15:20:48
WORKER,1,15:20:48
WORKER,2,15:20:49
JOB,12,15:20:49
WORKER,1,15:20:49
WORKER,2,15:20:49
WORKER,3,15:20:50
WORKER,1,15:20:50
WORKER,2,15:20:50
WORKER,1,15:20:50
WORKER,2,15:20:50
WORKER,1,15:20:50
WORKER,3,15:20:50
WORKER,1,15:20:50
WORKER,3,15:20:50
WORKER,2,15:20:51
WORKER,2,15:20:51
JOB,13,15:20:51
WORKER,1,15:20:52
JOB,14,15:20:52
WORKER,3,15:20:52
WORKER,1,15:20:52
JOB,15,15:20:53
JOB,16,15:20:53
WORKER,2,15:20:53
WORKER,2,15:20:53
WORKER,2,15:20:53
WORKER,3,15:20:54
WORKER,3,15:20:54
WORKER,1,15:20:55
WORKER,1,15:20:55
WORKER,1,15:20:55
WORKER,2,15:20:55
WORKER,2,15:20:55
WORKER,1,15:20:56
WORKER,1,15:20:56
JOB,17,15:20:56
WORKER,2,15:20:56
WORKER,1,15:20:57
WORKER,3,15:20:57
JOB,18,15:20:57
WORKER,3,15:20:57
WORKER,1,15:20:58
JOB,19,15:20:58
WORKER,2,15:20:58
WORKER,2,15:20:58
JOB,20,15:20:58
WORKER,3,15:20:58
WORKER,1,15:20:59
WORKER,2,15:21:00
WORKER,3,15:21:00
WORKER,1,15:21:00
WORKER,2,15:21:00
WORKER,3,15:21:00
WORKER,1,15:21:00
JOB,21,15:21:00
WORKER,2,15:21:00
JOB,22,15:21:00
WORKER,2,15:21:00
JOB,23,15:21:00
WORKER,1,15:21:01
WORKER,1,15:21:01
WORKER,2,15:21:01
JOB,24,15:21:01
WORKER,3,15:21:01
WORKER,3,15:21:01
WORKER,1,15:21:02
JOB,25,15:21:03
WORKER,2,15:21:03
JOB,26,15:21:03
JOB,27,15:21:03
JOB,28,15:21:03
JOB,29,15:21:03
WORKER,1,15:21:04
WORKER,1,15:21:04
WORKER,2,15:21:04
WORKER,3,15:21:04
WORKER,3,15:21:04
WORKER,3,15:21:04
WORKER,1,15:21:05
WORKER,1,15:21:05
WORKER,1,15:21:05
WORKER,1,15:21:06
WORKER,2,15:21:06
JOB,30,15:21:06
JOB,31,15:21:06
JOB,32,15:21:06
JOB,33,15:21:06
JOB,34,15:21:06
WORKER,1,15:21:07
WORKER,1,15:21:07
WORKER,2,15:21:07
WORKER,2,15:21:07
WORKER,2,15:21:07
WORKER,2,15:21:07
WORKER,2,15:21:07
WORKER,3,15:21:07
WORKER,3,15:21:08
WORKER,3,15:21:08
WORKER,1,15:21:09
WORKER,1,15:21:09
WORKER,1,15:21:09
WORKER,2,15:21:09
WORKER,2,15:21:09
JOB,35,15:21:09
WORKER,1,15:21:10
JOB,36,15:21:10
WORKER,2,15:21:10
WORKER,2,15:21:10
WORKER,2,15:21:10
JOB,37,15:21:10
JOB,38,15:21:10
WORKER,1,15:21:11
WORKER,2,15:21:11
WORKER,3,15:21:11
WORKER,1,15:21:12
WORKER,1,15:21:12
WORKER,1,15:21:12
JOB,39,15:21:12
WORKER,2,15:21:12
WORKER,2,15:21:12
WORKER,2,15:21:12
WORKER,2,15:21:12
JOB,40,15:21:12
WORKER,3,15:21:12
WORKER,3,15:21:12
WORKER,1,15:21:13
JOB,41,15:21:13
WORKER,2,15:21:13
WORKER,2,15:21:13
WORKER,1,15:21:14
JOB,42,15:21:14
WORKER,2,15:21:14
WORKER,2,15:21:14
JOB,43,15:21:14
JOB,44,15:21:14
WORKER,3,15:21:15
WORKER,1,15:21:15
JOB,45,15:21:15
WORKER,2,15:21:15
JOB,46,15:21:15
JOB,47,15:21:15
WORKER,3,15:21:15
JOB,48,15:21:16
WORKER,2,15:21:16
JOB,49,15:21:16
JOB,50,15:21:16
JOB,51,15:21:17
WORKER,3,15:21:17
WORKER,1,15:21:17
WORKER,1,15:21:17
WORKER,1,15:21:17
WORKER,1,15:21:17
WORKER,2,15:21:17
WORKER,3,15:21:17
JOB,52,15:21:17
WORKER,1,15:21:18
WORKER,2,15:21:18
JOB,53,15:21:18
WORKER,1,15:21:19
WORKER,2,15:21:19
WORKER,2,15:21:19
WORKER,3,15:21:19
WORKER,1,15:21:20
WORKER,1,15:21:20
WORKER,1,15:21:20
JOB,54,15:21:20
WORKER,2,15:21:20
WORKER,2,15:21:20
WORKER,2,15:21:20
WORKER,3,15:21:20
WORKER,1,15:21:21
JOB,55,15:21:21
WORKER,2,15:21:21
WORKER,2,15:21:21
WORKER,2,15:21:21
WORKER,2,15:21:21
WORKER,3,15:21:21
WORKER,1,15:21:22
WORKER,1,15:21:22
JOB,56,15:21:22
WORKER,2,15:21:22
JOB,57,15:21:22
WORKER,1,15:21:23
WORKER,2,15:21:23
JOB,58,15:21:23
WORKER,1,15:21:24
WORKER,1,15:21:24
JOB,59,15:21:24
WORKER,2,15:21:24
WORKER,3,15:21:24
WORKER,3,15:21:24
WORKER,1,15:21:25
WORKER,1,15:21:25
JOB,60,15:21:25
WORKER,2,15:21:25
WORKER,2,15:21:25
WORKER,2,15:21:25
WORKER,2,15:21:25
WORKER,3,15:21:25
WORKER,3,15:21:26
WORKER,1,15:21:27
WORKER,1,15:21:27
WORKER,1,15:21:27
WORKER,2,15:21:27
JOB,61,15:21:27
WORKER,1,15:21:28
WORKER,1,15:21:28
JOB,62,15:21:28
